,trip_id,trip_headsign
274,ASP22GEN-1038-Saturday-00_000600_1..S03R,South Ferry
275,ASP22GEN-1038-Saturday-00_002600_1..S03R,South Ferry
276,ASP22GEN-1038-Saturday-00_004600_1..S03R,South Ferry
277,ASP22GEN-1038-Saturday-00_006600_1..S03R,South Ferry
278,ASP22GEN-1038-Saturday-00_007200_1..N03R,Van Cortlandt Park-242 St
279,ASP22GEN-1038-Saturday-00_008600_1..S03R,South Ferry
280,ASP22GEN-1038-Saturday-00_009200_1..N03R,Van Cortlandt Park-242 St
281,ASP22GEN-1038-Saturday-00_010600_1..S03R,South Ferry
282,ASP22GEN-1038-Saturday-00_011200_1..N03R,Van Cortlandt Park-242 St
283,ASP22GEN-1038-Saturday-00_012600_1..S03R,South Ferry
284,ASP22GEN-1038-Saturday-00_013200_1..N03R,Van Cortlandt Park-242 St
285,ASP22GEN-1038-Saturday-00_014600_1..S03R,South Ferry
286,ASP22GEN-1038-Saturday-00_015200_1..N03R,Van Cortlandt Park-242 St
287,ASP22GEN-1038-Saturday-00_016600_1..S03R,South Ferry
288,ASP22GEN-1038-Saturday-00_017200_1..N03R,Van Cortlandt Park-242 St
289,ASP22GEN-1038-Saturday-00_018600_1..S03R,South Ferry
290,ASP22GEN-1038-Saturday-00_019200_1..N03R,Van Cortlandt Park-242 St
291,ASP22GEN-1038-Saturday-00_020600_1..S03R,South Ferry
292,ASP22GEN-1038-Saturday-00_021200_1..N03R,Van Cortlandt Park-242 St
293,ASP22GEN-1038-Saturday-00_022600_1..S03R,South Ferry
294,ASP22GEN-1038-Saturday-00_023200_1..N03R,Van Cortlandt Park-242 St
295,ASP22GEN-1038-Saturday-00_024600_1..S03R,South Ferry
296,ASP22GEN-1038-Saturday-00_025200_1..N03R,Van Cortlandt Park-242 St
297,ASP22GEN-1038-Saturday-00_026600_1..S03R,South Ferry
298,ASP22GEN-1038-Saturday-00_027200_1..N03R,Van Cortlandt Park-242 St
299,ASP22GEN-1038-Saturday-00_028600_1..S03R,South Ferry
300,ASP22GEN-1038-Saturday-00_029200_1..N03R,Van Cortlandt Park-242 St
301,ASP22GEN-1038-Saturday-00_030350_1..S03R,South Ferry
302,ASP22GEN-1038-Saturday-00_031200_1..N03R,Van Cortlandt Park-242 St
303,ASP22GEN-1038-Saturday-00_032050_1..S03R,South Ferry
304,ASP22GEN-1038-Saturday-00_033150_1..S03R,South Ferry
305,ASP22GEN-1038-Saturday-00_033200_1..N03R,Van Cortlandt Park-242 St
306,ASP22GEN-1038-Saturday-00_034150_1..S03R,South Ferry
307,ASP22GEN-1038-Saturday-00_035150_1..S03R,South Ferry
308,ASP22GEN-1038-Saturday-00_035200_1..N03R,Van Cortlandt Park-242 St
309,ASP22GEN-1038-Saturday-00_035950_1..S03R,South Ferry
310,ASP22GEN-1038-Saturday-00_036750_1..S03R,South Ferry
