,trip_id,trip_headsign
584,ASP22GEN-1091-Weekday-00_000650_1..S03R,South Ferry
585,ASP22GEN-1091-Weekday-00_002550_1..S03R,South Ferry
586,ASP22GEN-1091-Weekday-00_004550_1..S03R,South Ferry
587,ASP22GEN-1091-Weekday-00_006550_1..S03R,South Ferry
588,ASP22GEN-1091-Weekday-00_007450_1..N03R,Van Cortlandt Park-242 St
589,ASP22GEN-1091-Weekday-00_008550_1..S03R,South Ferry
590,ASP22GEN-1091-Weekday-00_009450_1..N03R,Van Cortlandt Park-242 St
591,ASP22GEN-1091-Weekday-00_010550_1..S03R,South Ferry
592,ASP22GEN-1091-Weekday-00_011450_1..N03R,Van Cortlandt Park-242 St
593,ASP22GEN-1091-Weekday-00_012550_1..S03R,South Ferry
594,ASP22GEN-1091-Weekday-00_013450_1..N03R,Van Cortlandt Park-242 St
595,ASP22GEN-1091-Weekday-00_014550_1..S03R,South Ferry
596,ASP22GEN-1091-Weekday-00_015450_1..N03R,Van Cortlandt Park-242 St
597,ASP22GEN-1091-Weekday-00_016550_1..S03R,South Ferry
598,ASP22GEN-1091-Weekday-00_017450_1..N03R,Van Cortlandt Park-242 St
599,ASP22GEN-1091-Weekday-00_018550_1..S03R,South Ferry
600,ASP22GEN-1091-Weekday-00_019450_1..N03R,Van Cortlandt Park-242 St
601,ASP22GEN-1091-Weekday-00_020550_1..S03R,South Ferry
602,ASP22GEN-1091-Weekday-00_021450_1..N03R,Van Cortlandt Park-242 St
603,ASP22GEN-1091-Weekday-00_022550_1..S03R,South Ferry
604,ASP22GEN-1091-Weekday-00_023450_1..N03R,Van Cortlandt Park-242 St
605,ASP22GEN-1091-Weekday-00_024550_1..S03R,South Ferry
606,ASP22GEN-1091-Weekday-00_025450_1..N03R,Van Cortlandt Park-242 St
607,ASP22GEN-1091-Weekday-00_026550_1..S03R,South Ferry
608,ASP22GEN-1091-Weekday-00_027450_1..N03R,Van Cortlandt Park-242 St
609,ASP22GEN-1091-Weekday-00_028250_1..S03R,South Ferry
610,ASP22GEN-1091-Weekday-00_029450_1..N03R,Van Cortlandt Park-242 St
611,ASP22GEN-1091-Weekday-00_029750_1..S03R,South Ferry
612,ASP22GEN-1091-Weekday-00_030900_1..S03R,South Ferry
613,ASP22GEN-1091-Weekday-00_031450_1..N03R,Van Cortlandt Park-242 St
614,ASP22GEN-1091-Weekday-00_031700_1..S03R,South Ferry
615,ASP22GEN-1091-Weekday-00_032500_1..S03R,South Ferry
616,ASP22GEN-1091-Weekday-00_033300_1..S03R,South Ferry
617,ASP22GEN-1091-Weekday-00_033450_1..N03R,Van Cortlandt Park-242 St
618,ASP22GEN-1091-Weekday-00_034100_1..S03R,South Ferry
619,ASP22GEN-1091-Weekday-00_034850_1..N03R,Van Cortlandt Park-242 St
620,ASP22GEN-1091-Weekday-00_034900_1..S03R,South Ferry
621,ASP22GEN-1091-Weekday-00_035700_1..S03R,South Ferry
622,ASP22GEN-1091-Weekday-00_036150_1..N03R,Van Cortlandt Park-242 St
623,ASP22GEN-1091-Weekday-00_036500_1..S03R,South Ferry
624,ASP22GEN-1091-Weekday-00_037150_1..N03R,Van Cortlandt Park-242 St
625,ASP22GEN-1091-Weekday-00_037300_1..S03R,South Ferry
626,ASP22GEN-1091-Weekday-00_038100_1..S03R,South Ferry
627,ASP22GEN-1091-Weekday-00_038150_1..N03R,Van Cortlandt Park-242 St
628,ASP22GEN-1091-Weekday-00_038900_1..S03R,South Ferry
629,ASP22GEN-1091-Weekday-00_039150_1..N03R,Van Cortlandt Park-242 St
630,ASP22GEN-1091-Weekday-00_039500_1..S03R,South Ferry
631,ASP22GEN-1091-Weekday-00_039850_1..N03R,Van Cortlandt Park-242 St
632,ASP22GEN-1091-Weekday-00_040250_1..S04R,South Ferry
633,ASP22GEN-1091-Weekday-00_040600_1..S03R,South Ferry
634,ASP22GEN-1091-Weekday-00_040650_1..N03R,Van Cortlandt Park-242 St
635,ASP22GEN-1091-Weekday-00_041250_1..S04R,South Ferry
636,ASP22GEN-1091-Weekday-00_041450_1..N03R,Van Cortlandt Park-242 St
637,ASP22GEN-1091-Weekday-00_041550_1..S03R,South Ferry
638,ASP22GEN-1091-Weekday-00_042200_1..S04R,South Ferry
639,ASP22GEN-1091-Weekday-00_042250_1..N03R,Van Cortlandt Park-242 St
640,ASP22GEN-1091-Weekday-00_042550_1..S03R,South Ferry
641,ASP22GEN-1091-Weekday-00_043050_1..N03R,Van Cortlandt Park-242 St
642,ASP22GEN-1091-Weekday-00_043200_1..S04R,South Ferry
643,ASP22GEN-1091-Weekday-00_043450_1..S03R,South Ferry
644,ASP22GEN-1091-Weekday-00_043850_1..N03R,Van Cortlandt Park-242 St
645,ASP22GEN-1091-Weekday-00_043850_1..S03R,South Ferry
646,ASP22GEN-1091-Weekday-00_044300_1..S04R,South Ferry
647,ASP22GEN-1091-Weekday-00_044500_1..S03R,South Ferry
648,ASP22GEN-1091-Weekday-00_044650_1..N03R,Van Cortlandt Park-242 St
649,ASP22GEN-1091-Weekday-00_044850_1..S03R,South Ferry
650,ASP22GEN-1091-Weekday-00_045250_1..N03R,Van Cortlandt Park-242 St
651,ASP22GEN-1091-Weekday-00_045400_1..S04R,South Ferry
652,ASP22GEN-1091-Weekday-00_045700_1..S03R,South Ferry
653,ASP22GEN-1091-Weekday-00_045850_1..N03R,Van Cortlandt Park-242 St
654,ASP22GEN-1091-Weekday-00_046100_1..S03R,South Ferry
655,ASP22GEN-1091-Weekday-00_046450_1..N03R,Van Cortlandt Park-242 St
656,ASP22GEN-1091-Weekday-00_046650_1..S04R,South Ferry
657,ASP22GEN-1091-Weekday-00_046800_1..S03R,South Ferry
658,ASP22GEN-1091-Weekday-00_047050_1..N12R,137 St-City College
659,ASP22GEN-1091-Weekday-00_047200_1..S03R,South Ferry
660,ASP22GEN-1091-Weekday-00_047550_1..N03R,Van Cortlandt Park-242 St
661,ASP22GEN-1091-Weekday-00_047600_1..S03R,South Ferry
662,ASP22GEN-1091-Weekday-00_048050_1..N03R,Van Cortlandt Park-242 St
663,ASP22GEN-1091-Weekday-00_048150_1..S04R,South Ferry
664,ASP22GEN-1091-Weekday-00_048200_1..S03R,South Ferry
665,ASP22GEN-1091-Weekday-00_048550_1..N12R,137 St-City College
666,ASP22GEN-1091-Weekday-00_048600_1..S03R,South Ferry
667,ASP22GEN-1091-Weekday-00_049050_1..N03R,Van Cortlandt Park-242 St
668,ASP22GEN-1091-Weekday-00_049100_1..S03R,South Ferry
669,ASP22GEN-1091-Weekday-00_049400_1..S12R,South Ferry
670,ASP22GEN-1091-Weekday-00_049450_1..N03R,Van Cortlandt Park-242 St
671,ASP22GEN-1091-Weekday-00_049550_1..S04R,South Ferry
672,ASP22GEN-1091-Weekday-00_049800_1..S03R,South Ferry
673,ASP22GEN-1091-Weekday-00_049850_1..N12R,137 St-City College
674,ASP22GEN-1091-Weekday-00_050250_1..N03R,Van Cortlandt Park-242 St
675,ASP22GEN-1091-Weekday-00_050400_1..S03R,South Ferry
676,ASP22GEN-1091-Weekday-00_050550_1..N03R,Van Cortlandt Park-242 St
677,ASP22GEN-1091-Weekday-00_050900_1..S12R,South Ferry
678,ASP22GEN-1091-Weekday-00_050950_1..N03R,Van Cortlandt Park-242 St
679,ASP22GEN-1091-Weekday-00_050950_1..S03R,South Ferry
680,ASP22GEN-1091-Weekday-00_051350_1..N12R,137 St-City College
681,ASP22GEN-1091-Weekday-00_051600_1..S03R,South Ferry
682,ASP22GEN-1091-Weekday-00_051750_1..N03R,Van Cortlandt Park-242 St
683,ASP22GEN-1091-Weekday-00_052150_1..N03R,Van Cortlandt Park-242 St
684,ASP22GEN-1091-Weekday-00_052200_1..S12R,South Ferry
685,ASP22GEN-1091-Weekday-00_052250_1..S03R,South Ferry
686,ASP22GEN-1091-Weekday-00_052550_1..N13R,215 St
687,ASP22GEN-1091-Weekday-00_052850_1..N03R,Van Cortlandt Park-242 St
688,ASP22GEN-1091-Weekday-00_053050_1..S03R,South Ferry
